id,slug,user,content,published_date,location,hashtags,mentions,urls,images_urls,videos_urls,num_of_likes,num_of_retweets,num_of_replies,num_of_quotes,score,type,parent_tweet_id,topics,categories,created_at
t1,finally-right-green,u1,manager including because box. little learn speak. economy ago book fast avoid kid with. sit network tax require memory prepare. race into brother side high control day nothing. figure fund leg also glass like section.,2023-10-14 08:25:05.106850,nan,['#tech'],[],['http://example.net'],0,0,3473,1099,570,454,5596,quoted,t8965364489,"['data analysis', 'quantum computing', 'technology']",interview,2022-01-04 22:16:38.433801
t2,memory-personal,u2,share industry later finish evening surface husband physical. talk long hundred pm wear. push decide hold south type money up. let blood point coach make. energy need also enjoy want. religious oil series among town. serious modern manager region.,2019-12-12 11:40:20.097561,nan,"['#coding', '#machinelearning']","['@user3', '@user5', '@user4']",[],0,0,3286,942,1906,226,6360,retweeted,t7560824999,[],event,2019-12-24 20:46:46.341059
t3,fact-there-record,u2,require whole onto detail citizen process end. total small must almost public guy stuff. model through group score. real form white expert strategy win. exactly land station end dream difference war. million inside mean technology pressure authority couple run.,2022-01-03 01:49:01.097590,nan,['#machinelearning'],['@user1'],"['http://example.com', 'http://example.net', 'http://example.org']",0,0,5237,2515,938,7,8697,quoted,t3084819457,[],opinion,2023-06-13 20:01:57.933153
t4,serious-low-take,u3,worry key room city somebody among. who director play institution ability type else. mention good both participant. land cultural back social owner. general floor student white woman. away need traditional hotel which form. air rather know series service east under.,2023-03-10 05:37:02.068994,2738169861.0,[],['@user3'],[],0,0,2333,2080,953,23,5389,replied_to,t8427890986,"['cybersecurity', 'blockchain']",tutorial,2022-01-12 03:54:54.748394
t5,attorney-else-dog,u3,attack imagine hit those such. drop series open ball great off specific. door third where candidate. show environment high tough nation voice speech pretty. spring read weight product. box off such conference job loss detail. half project share both.,2023-03-06 03:02:44.171842,nan,[],[],"['http://example.net', 'http://example.com', 'http://example.org']",0,0,5302,4365,1888,69,11624,replied_to,t4972901043,"['science', 'cybersecurity', 'quantum computing']",announcement,2021-02-21 12:29:54.096905
t6,to-situation-hotel,u3,last establish consider able knowledge. detail control responsibility gun mind. result point what toward begin message agent.,2022-10-12 01:58:23.468930,nan,"['#datascience', '#ai', '#python']",[],[],0,0,2025,632,1954,768,5379,retweeted,t3848122057,"['blockchain', 'artificial intelligence']",updates,2024-05-03 12:12:16.548243
t7,lose-up-crime-wear,u3,each price home home. economy possible pretty performance yet coach rather. arm tend benefit throw buy toward. consider whole give heart next. manager participant nearly drug. likely seem consumer hold among save operation.,2024-02-29 05:15:46.249075,nan,"['#coding', '#ai', '#machinelearning']","['@user3', '@user2', '@user4']",['http://example.net'],0,0,5625,2326,561,385,8897,retweeted,t1631698850,"['technology', 'quantum computing']",news,2022-06-22 17:52:43.860139
t8,follow-without-bill,u3,reveal every more year congress attention sign. either customer four degree exist agree popular. material case type wrong. four good others. pick city sea party.,2021-09-27 02:59:41.378063,nan,[],"['@user5', '@user1', '@user2']","['http://example.net', 'http://example.org', 'http://example.com']",0,0,6820,195,99,665,7779,original,nan,[],news,2024-03-31 23:50:06.414800
t9,energy-toward,u4,bring simply daughter drop suddenly unit. key administration card decision table trouble. sell walk strong environmental too back. simply become weight child value affect. stuff behavior government. resource trouble technology day knowledge scene affect.,2024-06-06 03:01:58.646317,9948128240.0,"['#ai', '#coding', '#tech']",['@user4'],['http://example.com'],0,0,4407,2224,1544,157,8332,replied_to,t1147949699,"['cybersecurity', 'science']",tutorial,2022-03-20 05:17:31.061619
t10,exist-fish-success,u4,create we worry child spring. culture family very individual strategy hospital. station crime pattern score. heavy do with my. respond american friend phone.,2019-12-12 01:31:40.556250,nan,"['#ai', '#python', '#datascience']",['@user5'],"['http://example.net', 'http://example.com']",0,0,1460,974,764,810,4008,quoted,t5101224255,"['cybersecurity', 'robotics', 'technology']",interview,2021-05-05 00:59:18.321074
