id,title,source,url,summary,slug,entry_type,author,content,author_name,author_image,content_vector,categories,tags,address,location,week_day,published_at,created_at,updated_at
N001,Regulatory Changes in the Cannabis Industry,NACB,https://example.com/regulatory-changes-in-the-cannabis-industry,See these two page.,regulatory-changes-in-the-cannabis-industry,Manual,,Try exactly computer reality name significant security. Attack every home company way. Evidence effort will bank. Animal arm level person serve.,Sandy Humphrey,https://picsum.photos/236/901,"[0.771145029028127, 0.18470698709341815, 0.8399600736485898, 0.24416886117000536, 0.6579774500044164, 0.0557773203703843, 0.5327859571836504, 0.5146526326507707, 0.6226376868332244, 0.4884283136793047, 0.05188334047771204, 0.1417745158850231, 0.6754522939830172, 0.8345453020739954, 0.9751567451452369, 0.4260945442543216, 0.4658881805318835, 0.25406555837395517, 0.756868318997737, 0.023578001936470527, 0.9547466411738394, 0.4371140518860832, 0.14429397701433777, 0.2883225808311993, 0.9805128551686155, 0.08239262940219694, 0.8313463386547583, 0.3332510461676661, 0.8682675614084291, 0.10756390038970298, 0.22799213454323863, 0.5481391222424774, 0.45650643171991556, 0.04545736931087441, 0.4964056599889408, 0.5128667961796018, 0.211577609002228, 0.08663879869169855, 0.5710591687044897, 0.8409084560370795, 0.7925483836131776, 0.2169728081236263, 0.6392291444354615, 0.824927477006239, 0.3317948940754567, 0.0451503867190064, 0.43361922894727956, 0.09245701902794445, 0.7554122843677572, 0.674269451113416, 0.9396335781925403, 0.21093034821892254, 0.3109959461066094, 0.9723499339408084, 0.053474015198996194, 0.19935908512418488, 0.22138831495537137, 0.06679544291097717, 0.9270227924628046, 0.41848742597973987, 0.016907201895113744, 0.7674023939063029, 0.2226773866861642, 0.15206363873991813, 0.4586442878447289, 0.8095541246139644, 0.8551255969224916, 0.2186236093648305, 0.9027590402729053, 0.910520041284762, 0.5282504274092976, 0.6433997662460068, 0.7286842990796517, 0.17258302525438696, 0.8551069167444829, 0.41154174288384315, 0.48453062168129957, 0.6186270253447549, 0.4453219642445915, 0.17446978144497993, 0.5836780674703453, 0.9014108572833843, 0.20698162716859214, 0.3352300247987846, 0.2668783883214878, 0.8009739549036062, 0.4711904471746803, 0.6897431625346293, 0.183978185466514, 0.005573853012747376, 0.016228282093000312, 0.9776190502457741, 0.4478354801875445, 0.8708572605354656, 0.04813808129241692, 0.807276429533762, 0.18115343300066078, 0.5947495851385363, 0.8009109602309449, 0.14019050968122648]",Extraction,"['Products', 'Health', 'Innovation', 'Market Trends']","20.66707520, 12.07182810","Niger, Agadez Region",Saturday,2024-02-19,2022-03-07 17:21:05.690288,2020-09-25 10:17:14.362206
N002,Cannabis Retail Strategies for Increased Sales,NACB,https://example.com/cannabis-retail-strategies-for-increased-sales,Lead actually despite piece civil write.,cannabis-retail-strategies-for-increased-sales,Manual,,Behavior business himself pull. Report arrive growth remain push read many.,Jerry Ritter,https://dummyimage.com/187x763,"[0.7923741820279832, 0.7637135801948656, 0.9801308599399157, 0.21569657757697436, 0.6636516256774252, 0.8340846698965239, 0.5395790399935175, 0.04938140841666705, 0.3704474831723812, 0.038352718002286124, 0.6213032773133783, 0.35164562876909566, 0.11711977774854232, 0.9830736203890865, 0.14060460094392468, 0.9603623168736897, 0.6810358186272791, 0.14605135408361536, 0.4572193063839115, 0.5250316153988839, 0.8114839828126935, 0.31439175747549275, 0.8776544793882045, 0.04739226433957289, 0.6241879385127779, 0.08815819695447547, 0.3918151189957154, 0.13529079065304472, 0.6607876802117849, 0.6848794850558966, 0.8393415323733179, 0.4499527341842108, 0.3511828538494679, 0.5693024112385207, 0.6079797160220649, 0.8314211507688096, 0.5602791733154615, 0.359690802553154, 0.7245523281912624, 0.9260942518363688, 0.24566948961193025, 0.7752926362471473, 0.2854623358507282, 0.7501881096462134, 0.9088772280291235, 0.46219703316435856, 0.6804870504750704, 0.0245361173376758, 0.8663853135691036, 0.3783035773837604, 0.4010067718870185, 0.5279663748716247, 0.5207528695729966, 0.5727283151941283, 0.19889228731011022, 0.2845966724315492, 0.6345004940705283, 0.7622532246294907, 0.43684053855571436, 0.10274647497129563, 0.3284427073231858, 0.01725611635667057, 0.9801618186460227, 0.9899282485364695, 0.6707686882450317, 0.9057334271035857, 0.4645612324339091, 0.14635361205333353, 0.3559624725793945, 0.48158424811019185, 0.5586805685552604, 0.15783514998842996, 0.1561193766558988, 0.8171300755064685, 0.247696421685774, 0.20656379727941088, 0.7130039215384145, 0.12148114766472817, 0.7716529456280116, 0.2507976887058099, 0.5111250616602409, 0.11112834511273328, 0.6343888487043411, 0.6124189094456656, 0.5319636781405477, 0.5265688531901687, 0.7403692801869011, 0.6429714220558016, 0.41762211030572616, 0.10126565817838507, 0.6088462543205976, 0.030719895922245444, 0.34659840889668514, 0.7465410770865729, 0.4656912429743548, 0.4816228412421386, 0.26600908324743955, 0.395431310079255, 0.39824501297008374, 0.20869730503899353]",Legislation,"['Legislation', 'Products', 'Health', 'Market Trends']","19.23420610, 97.26528580","Myanmar, Kayah State",Monday,2024-05-26,2021-03-26 20:14:33.491407,2022-11-12 19:55:26.795976
N003,Regulatory Changes in the Cannabis Industry,NACB,https://example.com/regulatory-changes-in-the-cannabis-industry,Than gun economy remain involve just once.,regulatory-changes-in-the-cannabis-industry,Manual,,Suffer quality a fish least modern. Environmental the claim. Impact open treat full in.,Jorge Bradshaw,https://picsum.photos/973/1006,"[0.0508416175830273, 0.13088705286347302, 0.08410903643049539, 0.732243209247193, 0.3840699841093127, 0.41437656966072567, 0.4222329415954106, 0.21589042811794534, 0.5045979542827426, 0.08129393797186624, 0.7950367546461572, 0.09988954195744071, 0.8781280489196299, 0.2796351142313912, 0.7160718834799655, 0.6036799877340162, 0.6656047628644233, 0.979827870005379, 0.13597506134389514, 0.8360298223943241, 0.7844880120449685, 0.7930978640234712, 0.1663868711479668, 0.23936081730934022, 0.14547228741584484, 0.48879868045539476, 0.3873192103394244, 0.4906704843043179, 0.8567907764777258, 0.10839460281829838, 0.6456797721417944, 0.4844197906983584, 0.33038955066010667, 0.4647208897820406, 0.6691800018719346, 0.3106712364359294, 0.36572876440630253, 0.4832999579140905, 0.9959312681285929, 0.4204693370374659, 0.02736514438207749, 0.6886326497962139, 0.7530039690586873, 0.9723879917064373, 0.08399859964210066, 0.8970565402110294, 0.9236343767550876, 0.48075572675287637, 0.884787590169183, 0.10365965555081769, 0.3511992531129313, 0.5878320194091734, 0.27194088760264534, 0.497441087132407, 0.9247173686079567, 0.6909218213834953, 0.5514057347608686, 0.02340686647334156, 0.9788971777177234, 0.6405064926002769, 0.3164049452837753, 0.8271707503613812, 0.32723278398752953, 0.01301087711284965, 0.9898329495392516, 0.2340378633162451, 0.13329529138391938, 0.13456154964456457, 0.6886520601537524, 0.22735361139565669, 0.450683346368571, 0.6020956999267323, 0.6829674739299062, 0.21585588571288883, 0.9963352907280942, 0.07569071315301357, 0.1152562678809822, 0.3911493099175781, 0.2632470821551396, 0.257979877497854, 0.2196265450420143, 0.11031772125735706, 0.2881745973426706, 0.09072698670579071, 0.6906215915828545, 0.558868094706015, 0.125976949220301, 0.9765786526001952, 0.5057197199562811, 0.8416407420116417, 0.665617366616714, 0.7019512127248706, 0.9648783601332568, 0.35712344488583836, 0.023168825322686604, 0.3266472633198708, 0.9179472881609031, 0.20989927189304747, 0.5044743945298162, 0.15690378339857658]",Cultivation,['Retail'],"-30.00023150, 136.20915470","Australia, South Australia",Wednesday,2024-04-07,2024-01-16 09:14:55.182530,2023-03-13 09:06:14.873410
N004,Cannabis Retail Strategies for Increased Sales,NACB,https://example.com/cannabis-retail-strategies-for-increased-sales,Get practice instead eat.,cannabis-retail-strategies-for-increased-sales,Manual,,Person up whom first nor million. Let modern try writer tend whom use three. Response every choose concern something.,Michele Taylor,https://dummyimage.com/824x166,"[0.7626544917013477, 0.07473955921178743, 0.16425574951453092, 0.2527277076454054, 0.7933510241450706, 0.7643067753678499, 0.11977716389951865, 0.7967598163037385, 0.855207593619833, 0.4367192938366151, 0.17769744253478925, 0.6969683565235625, 0.7435694020369787, 0.9887355907933091, 0.932154023559943, 0.08344580099272303, 0.29882193153568315, 0.49336832974201694, 0.9942682656519646, 0.22857662958073388, 0.3857699836336951, 0.23660196945429124, 0.7556600143280241, 0.9946357209774631, 0.8051266591316116, 0.8434828821484053, 0.6595181431436791, 0.7732209447789811, 0.9525514598024312, 0.18188144767886893, 0.8802880989043831, 0.9855781024124219, 0.6454173222476016, 0.03434413630832667, 0.6596450203908308, 0.10387546779537538, 0.7506475986371745, 0.012325649054371612, 0.24440328823227686, 0.3797987369449747, 0.24419256380544974, 0.20111663423113568, 0.5531384840641793, 0.17115655508794558, 0.02284447515260668, 0.04026899500903813, 0.675317409118345, 0.36713369737890267, 0.8894474720571921, 0.030230591452674704, 0.692517475465184, 0.5892723981423525, 0.03999911589113436, 0.34677563867468564, 0.6074346862228431, 0.29323825630578837, 0.9752349293426454, 0.1551039338520127, 0.07677959579548987, 0.6718353727180723, 0.3749849419403545, 0.30250450012587426, 0.1469553551304439, 0.6794681057071091, 0.0771250387086021, 0.16299100634560815, 0.9522857191691744, 0.8928774304142079, 0.16619489272935428, 0.12963560211837222, 0.20696208182665055, 0.05655613550613481, 0.404130328653478, 0.3049678552754004, 0.9770608131052079, 0.570588458829418, 0.7285004242739892, 0.4843375801758433, 0.22507597045221106, 0.7311231297215667, 0.3537607585013226, 0.9778480981575667, 0.47962494765367614, 0.7978645639582175, 0.8732454107344186, 0.4228623411448287, 0.30941283961184185, 0.6668387294971373, 0.449413925485177, 0.3088120512881717, 0.05323025305757367, 0.679410914772579, 0.24186020511570794, 0.3844221253704383, 0.033046924680059986, 0.32610865978477743, 0.37564941227711, 0.9890569904326959, 0.7263275036812125, 0.6185207731598381]",Health,"['Market Trends', 'Legislation', 'Cultivation', 'Technology']","11.52555280, 42.84794740","Djibouti, Arta Region",Sunday,2024-08-03,2023-09-22 00:46:48.348916,2021-11-23 23:59:35.477024
N005,Cannabis Market Analysis: Key Insights and Trends,NACB,https://example.com/cannabis-market-analysis-key-insights-and-trends,Enjoy moment example region outside both hold.,cannabis-market-analysis-key-insights-and-trends,Manual,,Type anyone same business arrive. Reduce agency agent before bar song energy.,Anne Mcgrath,https://placekitten.com/923/61,"[0.21701450849184, 0.5262450688590697, 0.18128321311354034, 0.6805982119837111, 0.8521392637640322, 0.4560586677952153, 0.9771801313479803, 0.023614491814498817, 0.4036940529827189, 0.22117399292598705, 0.454829741460415, 0.969262928828657, 0.1274140766654025, 0.09121737048034106, 0.015733996088306612, 0.4283853901894752, 0.01568669208843032, 0.24345288436146972, 0.6085475317488199, 0.1584338592478831, 0.3314443774089131, 0.7853177298847517, 0.2337696114107226, 0.735774519868981, 0.3524165449656357, 0.23955774713501132, 0.1856011744543783, 0.012451362857436421, 0.8285971064998242, 0.3991049660435432, 0.34979815203831344, 0.6761942353919884, 0.9736593770680187, 0.2353819271115708, 0.8686632601554007, 0.6173257268406682, 0.49703337905667466, 0.633870280656356, 0.26538600119698685, 0.37468009809209823, 0.6661487931274604, 0.7010629238332379, 0.7569935089804679, 0.2426890838892466, 0.4902362876287554, 0.8842973627431809, 0.6470868291535804, 0.44759797990113226, 0.29527065453660284, 0.6380942438663819, 0.12349643373455466, 0.6153022493660171, 0.8405165424422546, 0.27347032174450914, 0.6104316767886305, 0.7833584621769233, 0.7387051352768463, 0.7874199763874078, 0.9121610865104607, 0.3664886764875467, 0.28089248354842256, 0.45745253120429474, 0.43955515144518365, 0.2392618822598921, 0.4734611031617927, 0.42130937938152124, 0.027346939091966282, 0.3635578339580221, 0.019696977856989983, 0.04662285994186366, 0.8272506180498763, 0.693710404497972, 0.954991997626593, 0.08977170858417183, 0.24380497286498526, 0.5646696908606273, 0.5899248954003043, 0.3113732927032934, 0.48343071753105826, 0.22478922631610088, 0.2840929040976321, 0.32201666331062206, 0.8282116270746132, 0.7375130534153826, 0.05328406745344394, 0.7089737785255801, 0.11568710190422293, 0.6677721128711814, 0.2653484238464334, 0.9138738221762572, 0.7794538182703975, 0.19814498942767278, 0.47360907780279116, 0.411009983589096, 0.7111425800934748, 0.5385717395326945, 0.20279484928742553, 0.6237769464427947, 0.15842086888817009, 0.6452227947971184]",Retail,"['Regulations', 'Cannabis']","19.50000000, -80.50000000",Cayman Islands,Sunday,2024-06-22,2023-05-16 00:34:04.770768,2023-09-15 23:44:54.053664
N006,Cannabis Market Analysis: Key Insights and Trends,NACB,https://example.com/cannabis-market-analysis-key-insights-and-trends,Real few partner power tell five.,cannabis-market-analysis-key-insights-and-trends,Auto,,Car would society agree. Public sign very left issue standard debate idea. News nature rather up friend occur.,April Ramsey,https://dummyimage.com/831x838,"[0.3617260325085615, 0.33002178198709364, 0.45864994279786486, 0.014878509683278973, 0.4371239720058324, 0.8832120658692605, 0.07997505228705049, 0.16987885059998864, 0.4459195887578151, 0.5041370932364024, 0.9222552928675225, 0.8213265408575783, 0.1359874506403288, 0.43455741671865944, 0.48532685707580525, 0.1810691425623474, 0.16943738156056032, 0.8609763503396498, 0.9149370847538549, 0.6327325416614292, 0.6329914416295557, 0.12903495964374134, 0.36808013725122646, 0.9224265964131353, 0.22750889823872933, 0.21276732014603406, 0.23895253986981357, 0.23428275201979198, 0.0858888673986623, 0.6048097279692437, 0.9922703274893429, 0.10976845303026406, 0.1802210992886344, 0.4533065024329761, 0.08717608111551367, 0.5548436270430163, 0.12163574530582766, 0.3433532382296076, 0.13525664902502055, 0.9940764753026174, 0.796558130463138, 0.38907711538797063, 0.3785690717638981, 0.8011789739221764, 0.9198952687221394, 0.11516737069599059, 0.9483960982200157, 0.40805022119040424, 0.7296974842620021, 0.5423131073553698, 0.2455096217694288, 0.9689870827568159, 0.914244895169226, 0.26786648939992175, 0.5130442505644213, 0.31748704905291847, 0.9152414184048817, 0.546722336150548, 0.8029380254772651, 0.9805615280516026, 0.9452816555476757, 0.8009528079409517, 0.9398983265660734, 0.8193610766871475, 0.5765658721976743, 0.8074566685281069, 0.6398803559337499, 0.6874231287821719, 0.03061853198855391, 0.299577633799495, 0.30936926973981305, 0.28004818320724423, 0.7514324212224681, 0.07694207583144563, 0.8120704739852621, 0.020270485340249556, 0.9766670752377619, 0.13963375778253184, 0.7816693566245106, 0.15958758828793784, 0.43158941864182, 0.8737276885982204, 0.9965847950010325, 0.05817754812217846, 0.5346478620852558, 0.3920781676800231, 0.17380334692748944, 0.5668477424575373, 0.3290229746313007, 0.3298125428445916, 0.8481851444433335, 0.8191461871676765, 0.0844816364709643, 0.30624919937128037, 0.6505589264199858, 0.7944858327821933, 0.1998381963755126, 0.1727020408107488, 0.0006443652019975099, 0.2476739684789212]",Extraction,['Cultivation'],"13.46666666, 144.78333333",Guam,Tuesday,2024-01-10,2020-09-24 09:38:13.881065,2022-07-29 10:22:16.448004
N007,New Trends in Cannabis Cultivation for 2024,NACB,https://example.com/new-trends-in-cannabis-cultivation-for-2024,Free another stop question recent another.,new-trends-in-cannabis-cultivation-for-2024,Manual,,Enough Mr including. Set mention soldier.,James Gonzalez,https://dummyimage.com/8x416,"[0.3482490724390195, 0.09701968731714639, 0.41157289334172276, 0.4047111919862111, 0.7104178131956747, 0.20364627763173526, 0.7934038725849676, 0.46919601040621484, 0.7391120694356786, 0.3579217878336719, 0.032932763803353304, 0.3846103685465476, 0.2663518287965617, 0.7416528738539061, 0.918793117728567, 0.9585579940430541, 0.40714191825249846, 0.4979453260098142, 0.5630937960825358, 0.6798227530676445, 0.2922330512952972, 0.08901764729121175, 0.07397221192059977, 0.16908508036338132, 0.02301672484604378, 0.12681962214009057, 0.3637121390798568, 0.22868820649391464, 0.6630453041351482, 0.9759702718884742, 0.5031293015723544, 0.5707121665161745, 0.8601544188424, 0.6960082809956255, 0.3500852934013351, 0.22505785618033936, 0.214271679142219, 0.0533893753718806, 0.6937699331022952, 0.06714543542324114, 0.3767129319364545, 0.540957258051233, 0.6298439499616736, 0.6640902740516373, 0.6818704628031657, 0.14828091848777813, 0.9467694437283559, 0.44608868238184063, 0.8736356310630332, 0.40129884139401795, 0.22185444380313823, 0.5351699506304195, 0.6965573705676708, 0.34985205043699796, 0.2858577638386057, 0.15332489060451004, 0.06145135424924697, 0.5610304191474416, 0.7724422595520495, 0.5936439242576119, 0.3971176516847761, 0.963283569522153, 0.7914184486169027, 0.16854260854244485, 0.10482127270395258, 0.7448585558017358, 0.027699934508872648, 0.19908522884096258, 0.31946723712254643, 0.6625258946497838, 0.023104815957219804, 0.3295864138130489, 0.43752815588234595, 0.808173423654715, 0.0435534204546979, 0.6565981843576526, 0.8642194091557068, 0.3619362602427051, 0.9807961377490302, 0.09852527164938052, 0.5500000136107511, 0.52855415533564, 0.014099299493528172, 0.4209199645619893, 0.4769284158612297, 0.28117324568077795, 0.21992319747999922, 0.18091121314129255, 0.8316819097444288, 0.20433036553577055, 0.36301637331034975, 0.8974189391256773, 0.6557117377683715, 0.3452874235706851, 0.09029501284031038, 0.07228602095286052, 0.9644544473133586, 0.6611530331101982, 0.8478085863270691, 0.5719711554552076]",Regulations,"['Cultivation', 'Technology', 'Products', 'Innovation', 'Cannabis']","-21.74492540, -60.95400730","Paraguay, Boquerón Department",Wednesday,2024-04-25,2020-08-02 20:47:36.125507,2024-07-12 07:07:12.753485
N008,New Trends in Cannabis Cultivation for 2024,NACB,https://example.com/new-trends-in-cannabis-cultivation-for-2024,Quite mother discussion low store poor interesting.,new-trends-in-cannabis-cultivation-for-2024,Manual,,Lead other one the into stop road. Material his sure bank. Together their late remain artist nearly. Amount fall believe step theory perhaps answer.,Angela Mendez,https://dummyimage.com/394x474,"[0.6141304228910609, 0.5581792611209185, 0.2641602371136502, 0.7836449543157009, 0.9021235710898828, 0.40727579953264614, 0.5180996565903675, 0.09553378147442682, 0.34445517354770083, 0.7166012253056337, 0.8920155902083216, 0.5583738526758423, 0.9432272526140449, 0.7707029975553086, 0.781287320644676, 0.4428902859917071, 0.32118203543254376, 0.9093452247286719, 0.5249592499275165, 0.25490793718518856, 0.6730489600960609, 0.44394599884257135, 0.11717738660230648, 0.5127328940684555, 0.16304312132670984, 0.23711584228109928, 0.5386687171444968, 0.26617997565215556, 0.4074889857745212, 0.43748396990922067, 0.7448468789128475, 0.7093595542221179, 0.05566788714430726, 0.26989216903385993, 0.6902256646948008, 0.7415851505123342, 0.47640476372767804, 0.828919807102653, 0.5455140465947796, 0.8601088826769654, 0.7021214099548522, 0.8311578423028292, 0.29081990845055516, 0.19054463707535396, 0.48940743889704796, 0.6324330604052792, 0.8211639969957731, 0.19497420244953834, 0.45947247977819483, 0.5126441556063985, 0.6028113989264818, 0.06980748104377144, 0.19516833365022734, 0.5712254460907852, 0.17590767609403546, 0.5576627673411519, 0.03776357306543909, 0.75971655310136, 0.8956379970018068, 0.642782423020946, 0.7050441683476809, 0.7634633762407173, 0.8295557065030138, 0.2500097137624603, 0.6619830370097527, 0.23686339311751226, 0.6027211548647928, 0.26012869615620726, 0.7600860945437258, 0.47004025009133055, 0.5442967424993037, 0.44443263751963225, 0.5164027895738142, 0.8557660659535481, 0.4945262499014976, 0.5542753599519313, 0.1343546409415356, 0.8230862952866944, 0.45728339342028845, 0.5630164318854625, 0.36549308379401435, 0.6430775431084049, 0.9948320678192142, 0.018020649701879998, 0.3771263310602906, 0.8261426665659215, 0.4391250202364997, 0.5069666155601578, 0.04130256095155915, 0.6369052041547938, 0.5056350097545622, 0.5570121168596616, 0.5545535463147337, 0.6267528728812579, 0.5551924689141153, 0.37181273910450974, 0.06655120284463811, 0.7306375984636275, 0.07084597907253676, 0.6120547077074465]",Legislation,"['Legislation', 'Market Trends']","48.79044720, 11.49788950","Germany, Bavaria",Thursday,2024-06-28,2020-10-16 11:26:13.482322,2022-03-16 12:03:43.460204
N009,New Trends in Cannabis Cultivation for 2024,NACB,https://example.com/new-trends-in-cannabis-cultivation-for-2024,North should common quite impact away system.,new-trends-in-cannabis-cultivation-for-2024,Manual,,Shake focus thought. He along art item news likely. Seek decade company force look create alone.,Stephen Miller,https://dummyimage.com/866x792,"[0.9284895195001174, 0.28751400426558027, 0.4152255843535112, 0.09064727495900082, 0.7287128737975112, 0.7290151015937398, 0.4018615272562651, 0.6667454139537471, 0.7072260602332866, 0.16274280809250408, 0.2463168628828799, 0.6050643065798254, 0.10390698528590647, 0.6848444191889804, 0.3993820615244267, 0.9169932337499063, 0.49154999815734624, 0.07635632041536422, 0.08396880591336586, 0.4362642275559798, 0.9061587892774102, 0.5344259620716973, 0.2953760260459517, 0.7186315986842904, 0.9569040687200001, 0.8817998292714303, 0.5179538918156124, 0.07872346740246217, 0.08068960939270164, 0.26621673889867636, 0.2884099501085171, 0.5819085059077694, 0.45210365737398583, 0.45963213152959115, 0.15696932639487227, 0.4848426874013779, 0.4791477676961229, 0.017503895257531155, 0.2550837280533772, 0.29984229318696765, 0.29378144960337604, 0.2773424693997192, 0.7199814949043033, 0.7961071175026574, 0.48223026124185486, 0.8426798157938702, 0.5018588307990265, 0.07937559564187147, 0.006736368456929709, 0.229660581682692, 0.8563606843873203, 0.27116074428517256, 0.11378223002616517, 0.38793651358218995, 0.6213664102366563, 0.4883039734749691, 0.49672406591926, 0.6976871563935647, 0.08935086732321862, 0.29933551247835277, 0.0338145255755502, 0.5355622253258306, 0.2905460127536439, 0.34758402987978987, 0.788310191430705, 0.4269098513230556, 0.22157316528952153, 0.5636752925564094, 0.2577797350945288, 0.31417458557655864, 0.23110044647555283, 0.12021600443179159, 0.38991065042311424, 0.21034273624099475, 0.41107217014545905, 0.9313113312553781, 0.43741844600930646, 0.9350764633549665, 0.26650631730697605, 0.39900793869927353, 0.059307665773499996, 0.09899892783968856, 0.21697061730973877, 0.15845178582258124, 0.200812554259153, 0.2392491196833837, 0.8406809750423214, 0.9486311666140324, 0.6996525946252005, 0.5738617726263409, 0.901804660794895, 0.7652171008713008, 0.554775763901645, 0.08458817985060318, 0.446362160445403, 0.5958989139982988, 0.9224887241407465, 0.6336302226354844, 0.3442917388228961, 0.534198824020271]",Extraction,"['Cannabis', 'Market Trends', 'Legislation']","26.19861440, 56.24609490","Oman, Musandam",Sunday,2024-03-23,2023-07-31 18:50:04.096451,2023-12-30 07:36:48.577177
N010,Cannabis Market Analysis: Key Insights and Trends,NACB,https://example.com/cannabis-market-analysis-key-insights-and-trends,Newspaper light big suggest cut PM.,cannabis-market-analysis-key-insights-and-trends,Manual,,Of economic provide investment represent. Style body inside cup apply without student.,Randy Russell,https://placekitten.com/626/926,"[0.12897366187991888, 0.397784181446016, 0.28628873046148273, 0.43315966195297506, 0.09250684612843307, 0.6225913750542972, 0.11952535834689904, 0.35142003160702984, 0.6100107819924004, 0.5062527248491725, 0.3720413075751051, 0.08433700828664359, 0.13557894687414485, 0.17441554291265227, 0.21973478472070562, 0.1558040892139413, 0.6633335839287929, 0.9609880207171956, 0.7100981545226867, 0.2635114335159118, 0.3548323603956772, 0.673895264963596, 0.08055276355870977, 0.2743659477937752, 0.4676159202224075, 0.8112580248141409, 0.5134434000359545, 0.472566930710125, 0.4385602167133933, 0.7766534031900223, 0.9181168647759397, 0.4525379949871082, 0.8439675987386325, 0.9265011244781071, 0.3803395908732461, 0.6764835742578456, 0.7011741179933002, 0.5881289012438661, 0.797781321663528, 0.9960531433874117, 0.3777720951139145, 0.5570538553835381, 0.9625441341480788, 0.38715327590151005, 0.14491055864264768, 0.8013161194627505, 0.09048437563956813, 0.6776563615014616, 0.9358085043079553, 0.2701898401073496, 0.030673711632237532, 0.8407455082253799, 0.0491885312142758, 0.7160559305938442, 0.41996645031481683, 0.6116595281683129, 0.45245128671750634, 0.9451166479477804, 0.27843668600671856, 0.2525862012545068, 0.21227636105921277, 0.6716835641892662, 0.0962968672057396, 0.46252336847923237, 0.16322823322526414, 0.2676691241557624, 0.7485296638587079, 0.2428210888933644, 0.18506325921035416, 0.950517191030889, 0.523367889786077, 0.21957998548215973, 0.7719207497017435, 0.5338754196484391, 0.2583606192787329, 0.42608968354892307, 0.31992817857862765, 0.3186718182244488, 0.27788556670776343, 0.6688175778927279, 0.635533567430448, 0.6924072153967982, 0.9558552919533045, 0.860886269766686, 0.031908393690500914, 0.834199076011807, 0.7362948433043487, 0.9232835008326319, 0.9216976859822963, 0.9566134953313228, 0.038035295779903056, 0.3490372469274492, 0.5179723210982904, 0.6984241691775622, 0.9955298525844177, 0.39689924453545034, 0.9179383167225449, 0.6255546148535042, 0.570740788856316, 0.5774589568693642]",Health,"['Products', 'Retail', 'Cultivation', 'Regulations', 'Innovation']","41.89803120, 21.99994350","North Macedonia, Sveti Nikole Municipality",Thursday,2024-02-27,2020-01-12 16:27:56.368893,2020-09-10 09:04:57.158973
