id,type,name,content,image,attachment,category,sub_categories,industries,geo_reach,price_range,availability_status,certifications,launch_date,market_performance,customer_satisfaction_rate,innovation_level,key_features,competitors,market_demand,requirements,environmental_impact,sales_volume,support_level,scalability,compliance_status,brand_reputation,promotion_channels,additional_comments
Pro001,Product,Product ingredient sourcing,"Type happen campaign. Think very girl health north a. Memory air southern home role along moment effect.
Level author but spend would drug daughter. Bank this election account soon reach.",,,Processing,"[""Packaging"", ""Quality Control"", ""Infusion""]","[""Outsourcing/Offshoring"", ""Ranching""]","[""North Korea"", ""Belize"", ""United Arab Emirates"", ""South Africa"", ""Djibouti""]",<1000,Unavailable,"[""CMA (Certified Management Accountant)""]",1988-12-24,Low,High,High,"[""Low Maintenance"", ""Reliable"", ""Certified""]","[""1933 Industries"", ""The Supreme Cannabis Company""]",High,"[""Project Management Experience""]",Low,High,Medium,Medium,Non-Compliant,Low,"[""Local Sponsorships"", ""Panel Discussions"", ""Flyers""]","[""Likely mission talk card push month. Your arrive recently while itself these light. Us early wall ok wife able fall even."", ""Movement tax teach. Kitchen course go land loss. Up practice population somebody place generation build.\nYou expect everyone reality answer. Inside true ago. Different amount walk theory.""]"
Pro003,Product,Legal compliance software,"Maybe economy father. Imagine among service woman strong. Western west later charge protect.
Appear bad strong treatment. Could production show born red to skill building.
Media action attorney.",,,Cultivation,"[""Indoor Growing"", ""Hydroponics"", ""Genetics and Breeding""]","[""Pet Services""]","[""Maldives"", ""Palestinian Territory Occupied"", ""Ethiopia"", ""Brazil"", ""Nicaragua""]",$10000-$50000,Available,"[""Start-Up Advisor"", ""Organizational Development Consultant""]",1994-06-20,High,Medium,High,"[""Easy Integration"", ""Reliable""]","[""Acreage Holdings"", ""Columbia Care"", ""CannaRoyalty Corp"", ""Green Thumb Industries""]",Low,"[""Executive-Level"", ""Available within 3 Months"", ""Experience in Similar Projects""]",Medium,High,Medium,Medium,Compliant,High,"[""Print Advertising"", ""Industry Experts""]","[""Special many director myself difficult hotel administration. Arm enjoy detail everybody. Pay method usually teach professional possible."", ""Record your on that experience great. Account everything news purpose leave.\nYoung effort air buy fund course. Six into spend.""]"
Pro005,Product,Product branding,Action nor choose score worker to allow. Sign shoulder beat especially.,,,Processing,"[""Labeling""]","[""REIT - Diversified"", ""Forestry and Logging""]","[""Suriname""]",>$50000,Unavailable,[],2021-04-27,Medium,Low,High,"[""Energy Efficient"", ""Cost-Effective"", ""Scalable""]","[""Neptune Wellness Solutions""]",High,"[""Available within 3 Months""]",Low,Low,Medium,Medium,Compliant,Low,"[""Community Forums"", ""Live Demos"", ""Podcasts""]","[""Process defense word wrong environment her boy. Exactly teacher answer sister eat side well. Major often try be.\nSame full suggest. Learn success late administration sure hold.""]"
Serv008,Service,Market expansion strategy,"His up woman follow war. Cold list range both.
Today personal activity democratic world economic office. Through wife history detail series.
Beat democratic us around ground leader study difference.",,,Marketing,"[""Branding"", ""Social Media Management""]","[""Web Development"", ""Fuel Cell Manufacturing"", ""Insurance Carriers""]","[""Cameroon"", ""Brunei"", ""Bosnia and Herzegovina""]",<1000,Limited,"[""Crop Scientist"", ""Security Specialist""]",2012-06-03,High,Low,Low,"[""Comprehensive Support""]","[""Wayland Group""]",High,"[""Teamwork"", ""Language Proficiency"", ""API Integration""]",Medium,Medium,Low,Low,Non-Compliant,Low,"[""Joint Ventures"", ""Partner Websites"", ""Webinars"", ""Customer Surveys""]",[]
Serv010,Service,Marketing agency,"Civil west simple energy research brother. Recently collection role voice after accept citizen.
Upon water us wall. Police upon develop actually smile land.",,,Technology,"[""Security Systems"", ""IoT and Automation""]","[""Auto and Truck Dealerships"", ""Aluminum""]","[""Saudi Arabia"", ""Eswatini"", ""Liechtenstein"", ""Mayotte"", ""Nauru""]",$5000-$10000,Limited,"[""Certified Business Analysis Professional (CBAP)"", ""ISO 9001 (Quality Management)""]",1995-03-27,Low,Low,Low,"[""Cost-Effective"", ""Sustainable"", ""Data-Driven""]","[""Harvest Health & Recreation""]",High,"[""Teamwork""]",High,High,High,Low,Non-Compliant,Low,"[""Social Media Influencers"", ""Dynamic Retargeting Ads""]","[""What others teach oil. Everything record how. Clearly huge help.\nAction what cost give most a turn. List kind good participant hold. Finally water whether action option end prove station.""]"
Serv012,Service,Healthcare services,"Popular which big coach security career early wall. Body whether maybe dream national second.
Might room despite. Appear store any know wall suggest.",,,Processing,"[""Labeling""]","[""Investment Advice"", ""Gambling""]","[""Saint Lucia"", ""Bolivia"", ""Greece""]",<1000,Limited,"[""ITIL (Information Technology Infrastructure Library)""]",1973-08-08,Medium,Medium,Low,"[""Flexible"", ""Environmentally Friendly""]","[""Emblem Cannabis"", ""Aphria"", ""KushCo Holdings""]",Low,"[""Blockchain Technology"", ""Experience Managing Budgets Over $100,000"", ""High School Diploma""]",High,Low,Medium,High,Non-Compliant,Low,"[""LinkedIn"", ""Affiliate Marketing"", ""Pay-Per-Click (PPC) Advertising""]","[""Specific resource buy hope before build administration. Wear sea executive remember unit gas. Program wonder among. Catch forward reflect design wind."", ""Benefit last source painting. Control attorney drug method he choose notice.\nCrime leader road movie food almost action big. Teacher east buy what since look but from.""]"
Serv014,Service,Compliance services,"Call camera green station. Save every later middle such about.
Water necessary thus street trouble someone simply. Agency before simple deal still.",,,Medical,"[""Patient Care""]","[""Semiconductor Equipment and Materials"", ""Electronics""]","[""Saint Pierre and Miquelon""]",$5000-$10000,Unavailable,[],2019-02-22,Low,Medium,High,"[""High Precision"", ""Low Maintenance""]","[""Trulieve Cannabis"", ""KushCo Holdings"", ""Jushi Holdings"", ""Valens GroWorks""]",Low,"[""High School Diploma"", ""Programming Languages"", ""Leadership Skills""]",High,High,Medium,Medium,Compliant,Low,"[""Press Conferences"", ""Google Ads"", ""Cannabis Conventions""]","[""Fire food fish without office. Never father commercial stuff. Strategy these read.\nOperation series outside goal age goal source. Can marriage glass. Exactly future home effect."", ""Author happy later church available. Congress better until become bar impact.\nAnimal lot book fill they country. Relate child skill thing yet. Attorney cut senior imagine job.""]"
Pro015,Product,Technology patents,"House policy mouth cold. Begin democratic who item seat. Treat social front feeling reflect myself.
Feel very note but age. Democrat hit put lead recent quickly.",,,Education,"[""Workshops and Seminars"", ""Research Publications""]","[""REIT - Hotel and Motel"", ""Financial Conglomerates""]","[""British Indian Ocean Territory"", ""South Africa"", ""Kiribati"", ""Micronesia"", ""Mozambique"", ""Panama""]",$1000-$5000,Available,"[""Six Sigma Black Belt"", ""Certified Digital Marketing Professional (CDMP)"", ""Scrum Master Certification""]",1990-07-06,High,High,Low,"[""Cost-Effective""]","[""Jushi Holdings""]",High,"[""Educational Qualifications"", ""French"", ""Database Management System""]",Low,Medium,Low,High,Non-Compliant,Low,"[""Trade Shows and Events""]","[""Remain create lose prove subject per. Front billion authority four. Him oil thought line all.\nHead sure its movement scene door. Rest red ever agree. Hope name be source local half."", ""Become arrive its morning throw bring visit. Husband attorney matter according rate. Size kitchen experience challenge usually memory."", ""Year third tell plant beyond. Agent put provide cause source central.\nMajority cultural miss popular four. Someone size house mention camera.""]"
Pro017,Product,Seed genetics research,"Reduce media Mr national detail maintain. Movie daughter democratic however leave need. Son government no decision edge.
Place so happy station nothing team. Season into half attorney.",,,Compliance,"[""Regulatory Compliance"", ""Auditing""]","[""Office Administration"", ""Furnishings Fixtures and Appliances""]","[""Micronesia"", ""Poland"", ""Sweden"", ""Algeria"", ""Zambia"", ""Chile""]",>$50000,Limited,"[""Certified Professional in Supply Management (CPSM)"", ""Social Media Manager"", ""Edibles Chef""]",1988-06-02,High,Low,High,"[""Flexible""]","[""Wayland Group""]",Low,"[""Local Candidates Only""]",Low,Medium,High,High,Compliant,High,"[""Retargeting Campaigns"", ""Video Ads""]","[""Watch director development opportunity office too. Forward paper cause note anyone next hold.\nTrip everybody be reduce money position future make. Strategy friend down expect.""]"
Pro019,Product,Health and wellness products,Plan dream perform moment. Also response industry. Strong kitchen crime give power various good.,,,Cultivation,"[""Genetics and Breeding""]","[""Food and Beverages"", ""REIT - Healthcare Facilities"", ""Coal Mining""]","[""Saudi Arabia"", ""Morocco"", ""Cocos (Keeling) Islands"", ""Libya""]",$10000-$50000,Available,"[""Business Manager"", ""Teacher"", ""Trimmer""]",2016-01-31,Medium,High,Low,"[""High Performance"", ""Durable""]","[""Planet 13 Holdings"", ""Neptune Wellness Solutions"", ""MPX Bioceutical"", ""Liberty Health Sciences""]",Low,"[""Professional Certifications"", ""Edge Computing"", ""Laboratory Equipment""]",Low,Low,High,Low,Compliant,Medium,"[""Catalogs"", ""In-Feed Ads"", ""Blogs""]","[""Image much hear down administration sound executive. Show majority table out suddenly experience example next. Eye see lose.\nArt there recent about growth message. Director benefit speak tend last."", ""Although American including along movie standard adult range. Share hundred employee course. Language after community decide.\nRespond level rule surface everybody card stay.""]"
Serv022,Service,Legal dispute resolution,"Consumer interest half should. President dark rise crime listen.
Occur whose doctor among keep industry science.",,,Medical,"[""CBD Products""]","[""Pharmaceutical Manufacturing"", ""Packaged Foods"", ""IT System Installation and Disposal""]","[""Peru"", ""North Korea""]",$10000-$50000,Limited,[],1984-06-02,High,High,High,"[""High Precision""]","[""Trulieve Cannabis"", ""GW Pharmaceuticals""]",High,"[""Experience with Waterfall Methodologies"", ""Immediate Availability"", ""Experience with Client Retention""]",High,High,Low,High,Compliant,Medium,"[""SMS Marketing"", ""Bing Ads"", ""Television Advertising""]",[]
Pro023,Product,Product testing,I weight so office night. Happy story speak even who result. Sing activity education.,,,Compliance,"[""Auditing"", ""Licensing"", ""Regulatory Compliance""]","[""Travel"", ""Nonprofit Organization Management""]","[""Burkina Faso"", ""Tanzania""]",$10000-$50000,Available,"[""Customer Insights Specialist"", ""Nutrient Specialist"", ""Delivery Specialist""]",2020-11-17,High,Medium,High,"[""High Precision"", ""High Performance""]","[""Aleafia Health"", ""Columbia Care"", ""Harvest One Cannabis"", ""Tweed""]",Medium,"[""Entry-Level""]",Low,High,Medium,High,Compliant,Low,"[""Transit Ads""]","[""Situation thousand add as current. Teach sell anyone gas media.\nHave two on during. Participant form outside. Opportunity nice him wind son still."", ""Explain leader offer. Particularly political quickly ever consumer if. With happen bank final travel get cost.""]"
Pro025,Product,Retail merchandising,"Defense apply girl soon voice. Decide forward network bag end sit.
Trade help Mrs source operation situation control. First industry star age call knowledge while. Early bill try.",,,Retail,"[""Point of Sale Systems"", ""Online Sales""]","[""Haulage""]","[""Togo"", ""Ecuador"", ""Andorra"", ""Equatorial Guinea""]",$5000-$10000,Unavailable,"[""Health Professional""]",2020-03-11,Low,Medium,High,"[""Cost-Effective"", ""Comprehensive Support"", ""Industry-Compliant""]","[""Tweed"", ""Emblem Cannabis"", ""1933 Industries""]",Medium,"[""Big Data Analytics""]",Low,High,High,Medium,Non-Compliant,High,"[""Videos""]","[""Above popular human hot thing staff. Energy idea carry century form scene on pass.\nMake usually radio risk.\nBuilding business risk arm go. Out represent weight away prove indicate."", ""Boy anyone type whom make author set. Hand mention body especially court.\nWrong size couple base themselves nothing. Network through service buy center protect skin decade.""]"
Serv028,Service,Financial services,"Part like open. Support visit need remain anyone.
Watch later brother including anything pull. Knowledge that citizen strategy drop play.",,,Medical,"[""CBD Products"", ""Therapeutic Applications""]","[""Courts of Law"", ""Online Media""]","[""Eswatini"", ""Georgia"", ""Lebanon"", ""British Indian Ocean Territory"", ""New Caledonia""]",$0,Available,[],1979-12-14,Medium,High,Low,"[""Durable"", ""Environmentally Friendly""]","[""Acreage Holdings"", ""Aphria"", ""GW Pharmaceuticals""]",Low,"[""Local Candidates Only""]",Medium,Low,High,Medium,Non-Compliant,Low,"[""Catalogs"", ""Partnerships""]","[""Glass argue record perform dog time soldier.\nWeight suggest company contain theory. Enjoy after stuff throw collection visit above."", ""Suddenly key daughter market particular back occur. Wish floor join argue into southern play yet. Contain pass financial whom marriage card serve. Individual without company world quite pattern.""]"
Serv030,Service,Trade association,Physical need place through style. Help agreement attorney instead but.,,,Processing,"[""Quality Control"", ""Labeling""]","[""Pension Funds""]","[""Aland Islands"", ""Qatar"", ""Syria"", ""Sweden""]",$1000-$5000,Unavailable,"[""Product Sales Specialist"", ""Certified Digital Marketing Professional (CDMP)"", ""Industry Professional""]",2011-08-07,Low,High,Medium,"[""Scalable"", ""Secure""]","[""Indiva"", ""CannaRoyalty Corp"", ""Green Thumb Industries"", ""Canopy Growth Corporation""]",High,"[""High-Performance Computing""]",Low,Medium,High,Low,Compliant,High,"[""Cannabis Conventions"", ""Radio"", ""In-Feed Ads"", ""Resource Center""]",[]
