id,title,source,url,summary,slug,entry_type,author,content,author_name,author_image,content_vector,categories,tags,address,location,week_day,start_date,start_time,end_date,end_time,created_at,updated_at
EV001,Team-oriented context-sensitive pricing structure,williams-huber.com,http://rivera.com/,Fly there well instead foreign prevent.,spring-card-many,manual,88.0,Direction wrong measure cell must side describe. Result card agency exist message. Project me explain cut city.,Brittany Valdez,,,Business & Finance,"['Health', 'Politics', 'Science']","982 Thompson Fort
Everettborough, VI 08335",Guinea-Bissau,thursday,2024-07-16,21:52:59,,13:57:37,2022-11-22 21:58:57.236249,2022-06-25 11:03:08.798193
EV002,Future-proofed encompassing model,griffin-holt.biz,http://holmes.com/,Everything understand heavy.,argue-thought-field,manual,13.0,"Reason senior seem her claim. World about data last make.
Paper certainly political world voice recently live. Where cost fund step difference.",Andrea Smith,,,Technology,"['Entertainment', 'Business & Finance', 'Sports', 'Politics', 'Health']","18935 Hamilton River
South Amandahaven, WV 29095",Montserrat,thursday,2024-03-04,11:30:19,,07:31:16,2020-10-26 11:39:20.452727,2020-11-02 04:51:45.464562
EV003,Compatible stable attitude,NACB,http://nelson.com/,Born water amount easy water never.,western-none-front,manual,19.0,"Military raise tree doctor where either carry. Scene him this catch.
Including catch second music nation contain human. Decade assume budget record speak thank many.
Mrs television try top both hot.",Aaron Marshall,,,Politics,"['Science', 'Technology', 'Politics', 'Health']","5851 Gonzalez Grove
Lyonsfurt, ME 27325",Central African Republic,saturday,2024-01-28,23:31:25,,,2022-10-30 17:06:52.713136,2021-03-24 03:19:58.119709
EV004,Front-line object-oriented definition,NACB,http://gould-dyer.net/,New south international pick subject your.,model-nor-arm-argue,manual,,"But pay star mission population under speech. Space place capital ever. Value program writer hard paper throw tax.
Anyone later deep. Tree when American suggest. Into heavy be shoulder.",Connor Jackson,,,Sports,['Health'],"852 Michelle Point Apt. 498
Marcside, MD 86497",Antigua and Barbuda,tuesday,2024-04-05,23:24:20,2024-03-22,19:13:51,2021-05-08 14:44:45.854292,2024-05-13 05:01:54.857302
EV005,Adaptive well-modulated definition,lewis.com,http://smith.net/,Certain bar manager week.,dark-seven-remain,auto,23.0,Leader produce expert assume seek mouth sit. Exactly between usually themselves raise western. Soon him fear popular rich.,Edwin Acosta,,,Technology,['Technology'],"8148 Austin Union Suite 677
New Kelly, NY 77393",Reunion,thursday,2024-07-06,21:11:42,2024-02-27,20:56:32,2020-10-21 03:05:01.153147,2020-03-26 01:24:57.933682
EV006,Inverse client-server frame,NACB,http://www.aguirre-brown.com/,Hospital scene five same letter or tree.,specific-unit-seven,manual,98.0,"Focus skin discover. Thousand source manage human.
Mean chair general that compare entire. Travel last moment attention. Firm hospital student friend control.",David Smith,,,Technology,"['Science', 'Technology', 'Sports', 'Business & Finance']","5328 Porter Pines Suite 893
Rosalesbury, CT 91805",Bulgaria,monday,2024-07-06,23:06:57,2024-07-10,16:02:26,2020-12-12 17:06:45.691691,2020-07-29 23:12:13.125991
EV007,Realigned next generation pricing structure,NACB,https://www.flores.net/,What find easy middle red decide stuff my.,note-available-set,manual,24.0,Focus heart this require. Learn low former computer affect goal report. Identify easy past so two decision month.,Elizabeth Ramos,,,Science,"['Sports', 'Health', 'Technology']","10075 Jones Square
Lake Andrewview, ID 59908",Christmas Island,sunday,2024-04-20,17:14:32,,06:35:05,2022-04-22 07:58:45.674932,2021-04-06 20:28:41.358485
EV008,Intuitive uniform project,hill.com,https://moore-brown.com/,Indeed now lose see send black around.,we-skin-majority,auto,,Win want ball realize watch another once. Adult street wife court season beat hundred. Lose himself away great first reveal source.,Michael Patrick,,,Health,"['Sports', 'Entertainment', 'Science', 'Business & Finance', 'Technology']","4340 Day Center
Stacyport, NC 36412",Tanzania,friday,2024-03-15,05:22:02,2024-03-22,17:05:04,2021-05-31 04:46:11.159739,2023-12-16 16:48:21.216172
EV009,Distributed multi-state moratorium,turner.net,http://www.woods.com/,Whether back to attack she Mr.,bag-difficult-ahead,manual,,"Clearly paper almost.
Despite morning apply art scientist bag.
City wife with beyond evening. Range analysis notice charge sport lay end. Administration might read relationship service very think.",Ronald Dennis,,,Technology,"['Health', 'Technology', 'Science', 'Sports']","11153 Shepherd Center
Moorefort, NC 84847",Iceland,thursday,2024-04-07,07:15:47,2024-04-24,10:33:51,2022-09-22 05:55:08.978845,2020-04-18 11:04:00.626967
EV010,Synchronized 24/7 contingency,NACB,http://sanchez-harrison.com/,Ok next your professor plan.,indicate-brother,manual,,"Suddenly course lose visit real. Public and current government.
Show most there free. Cup to your its recently.",Carl Flynn,,,Health,"['Business & Finance', 'Technology', 'Sports', 'Science']","USNS Harding
FPO AE 75941",Nigeria,friday,2024-06-22,00:43:35,2024-06-06,10:31:28,2024-08-04 20:38:05.035394,2020-10-16 15:10:54.738774
